1	1	1	248.79 167.59 185.53 265.13 197.83 258.1 207.49 254.58 214.52 257.22 221.55 255.46 232.98 258.1 242.64 264.25 233.86 273.91 222.43 279.19 214.52 279.19 
1	1	2	247.98 164.98 184.91 263.08 196.3 257.82 205.93 255.19 213.82 256.07 220.82 255.19 233.09 256.95 243.6 263.08 233.09 270.96 221.7 276.21 213.82 277.09 
1	1	3	249.89 166.6 185.04 263.43 195.7 258.98 208.14 256.32 215.24 257.21 222.35 256.32 231.23 258.1 244.56 263.43 232.12 272.31 223.24 277.64 215.24 278.53 
1	1	4	247.04 166.72 179.63 262.89 192.22 258.39 204.8 255.7 211.99 256.6 220.08 255.7 229.07 257.49 242.55 262.89 229.97 271.87 220.08 277.27 211.99 278.17 
1	1	5	247.7 167.69 181.33 264.49 194.23 258.96 206.22 257.12 213.59 258.96 221.89 257.12 231.11 258.96 244.94 264.49 231.11 273.71 221.89 278.32 213.59 279.24 
1	1	6	249.6 166.99 181.2 262.57 195.25 259.76 205.56 256.95 213.06 258.82 221.49 257.88 232.74 259.76 246.79 263.51 232.74 273.82 222.43 276.63 213.06 278.5 
1	1	7	250.21 163.75 179.85 260.39 194.86 256.63 207.05 253.82 214.56 256.63 223.0 254.76 232.39 256.63 246.46 262.26 232.39 271.65 223.0 275.4 214.56 276.34 
1	1	8	249.9 164.35 178.78 263.54 192.82 257.93 203.11 256.05 212.47 257.93 220.89 256.05 231.18 257.93 245.22 263.54 231.18 271.96 221.83 277.58 211.53 278.51 
1	1	9	249.67 164.64 178.37 263.51 193.58 258.76 204.04 256.86 212.6 257.81 221.15 256.86 232.56 258.76 245.87 264.46 232.56 273.02 222.1 278.72 211.65 279.67 
1	1	10	247.45 159.71 175.89 260.45 190.02 255.74 200.37 253.86 209.79 255.74 218.26 254.8 229.56 256.68 243.68 262.33 229.56 271.75 219.2 277.4 208.85 278.34 
1	1	11	248.42 158.36 173.07 262.91 189.08 256.32 200.38 251.61 210.74 255.38 220.16 251.61 232.4 256.32 245.59 263.85 235.23 277.98 221.1 284.58 211.68 285.52 
1	1	12	249.9 162.12 174.69 266.85 188.02 258.28 201.34 251.62 212.77 253.52 222.29 251.62 237.53 257.33 251.81 266.85 238.48 283.04 223.24 289.7 213.72 290.65 
1	1	13	249.4 160.09 172.93 259.81 185.51 252.06 200.03 249.16 212.62 250.13 223.27 249.16 238.76 253.03 253.28 263.68 238.76 280.14 223.27 287.88 213.59 287.88 
1	1	14	250.31 160.05 175.32 258.42 187.98 252.57 201.62 249.65 214.28 250.63 224.02 249.65 239.6 253.55 253.23 264.26 240.57 279.84 225.96 283.74 215.25 285.69 
1	1	15	248.27 158.61 173.57 257.56 188.12 252.71 199.76 246.89 210.43 248.83 220.13 246.89 234.69 253.68 247.3 261.44 235.66 276.96 221.1 280.84 211.4 282.78 
1	1	16	248.19 160.2 173.78 262.03 189.44 255.18 200.21 249.3 210.98 251.26 220.77 249.3 231.54 256.16 245.25 264.97 234.48 279.65 220.77 285.53 210.98 286.51 
1	1	17	249.76 158.67 174.91 260.75 190.46 253.95 202.13 248.11 211.85 252.0 221.57 249.09 233.24 254.92 245.88 264.64 235.18 277.28 221.57 284.08 211.85 285.05 
1	1	18	247.86 159.98 171.74 263.78 187.56 255.87 200.41 249.94 210.3 253.89 219.2 249.94 231.06 256.86 243.91 266.75 233.04 280.59 219.2 287.51 210.3 287.51 
1	1	19	251.65 159.21 176.11 263.57 192.02 255.62 202.95 252.64 213.88 254.63 223.82 253.63 233.76 259.6 248.67 269.53 235.75 282.46 223.82 287.42 212.89 288.42 
1	1	20	254.07 157.15 177.78 261.55 193.84 254.53 204.88 249.51 214.92 253.52 224.96 251.51 236.0 256.53 251.06 267.58 237.0 278.62 225.96 285.65 214.92 286.65 
1	1	21	254.22 159.51 178.45 263.19 193.4 256.21 203.37 254.22 213.34 256.21 224.31 255.22 235.27 261.2 251.22 271.17 236.27 283.13 224.31 288.12 212.34 288.12 
1	1	22	254.23 159.52 178.65 262.95 191.58 255.99 204.51 254.0 213.46 255.99 223.4 254.99 236.33 259.97 251.25 269.91 236.33 281.85 223.4 287.81 212.46 287.81 
1	1	23	251.95 156.06 176.67 260.45 190.72 253.43 201.76 250.41 210.79 252.42 221.83 251.42 233.88 255.43 248.93 265.47 233.88 277.51 221.83 284.54 210.79 284.54 
1	1	24	255.52 159.69 176.49 263.74 191.49 256.73 202.5 252.73 212.5 255.73 223.51 253.73 234.51 258.73 249.52 267.74 235.51 280.74 223.51 287.75 211.5 287.75 
1	1	25	251.63 159.19 175.05 262.63 187.98 255.67 200.91 253.68 209.86 254.68 221.8 253.68 232.74 258.66 247.66 267.61 233.73 279.54 221.8 286.51 209.86 287.5 
1	1	26	253.46 158.59 176.45 262.61 190.45 255.6 201.45 251.6 211.45 254.6 223.45 252.6 233.46 257.61 248.46 266.61 234.46 279.61 223.45 286.61 210.45 286.61 
1	1	27	253.27 160.64 174.56 264.26 189.51 257.28 200.47 252.3 210.43 256.29 221.39 254.29 232.35 258.28 246.3 267.24 233.35 280.2 221.39 287.17 209.43 288.17 
1	1	28	251.93 159.32 174.08 261.8 187.88 254.9 198.72 249.97 208.57 253.92 220.39 251.94 231.23 256.87 245.03 266.73 231.23 278.55 219.41 285.45 207.58 285.45 
1	1	29	252.76 155.87 176.07 258.45 191.01 251.48 200.97 247.5 210.93 251.48 222.88 250.49 232.84 254.47 247.78 263.43 233.84 275.39 221.88 282.36 209.93 283.35 
1	1	30	249.21 159.24 173.2 259.93 186.03 254.99 197.88 249.07 206.76 253.02 218.61 250.05 229.47 256.96 244.27 264.86 229.47 278.68 217.62 282.63 206.76 283.62 
1	2	1	258.56 183.03 178.45 275.38 194.03 264.25 205.15 260.92 215.17 262.03 224.07 257.58 240.76 262.03 257.45 270.93 241.87 279.83 230.74 280.94 217.39 282.06 
1	2	2	259.28 177.82 177.95 270.29 195.78 263.61 206.92 256.92 216.95 260.27 228.09 256.92 241.46 258.04 259.28 264.72 242.57 272.52 231.43 274.75 220.29 274.75 
1	2	3	258.1 177.83 176.27 269.61 192.86 262.98 203.91 257.45 214.97 261.87 226.03 256.34 239.3 258.55 256.99 262.98 241.51 270.72 229.35 271.82 217.18 272.93 
1	2	4	261.28 176.03 179.57 267.81 196.36 261.09 208.67 258.85 218.75 261.09 229.94 256.62 243.37 258.85 261.28 262.21 244.49 268.93 232.18 270.05 220.98 271.17 
1	2	5	260.84 177.83 179.25 267.25 196.01 262.78 208.31 260.54 219.48 262.78 230.66 258.31 244.07 260.54 261.96 262.78 246.31 269.49 232.9 271.72 222.84 272.84 
